url,title,published,outlet,title_was_encoded,keywords_matched,keyword_stances,n_keywords,n_support,n_backlash,has_hashtag_term,article_stance,article_type,source_country,year,status,chars
https://www.thedailybeast.com/woke-aziz-ansari-debuts-in-brooklyn-ive-had-a-reckoning-after-metoo-allegations,,2019-05-17 09:00:00 UTC,thedailybeast.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2019,OK,8723
https://995theriver.iheart.com/content/2018-01-28-logic-takes-on-suicide-prevention-racism-metoo-movement-at-grammys/,,2018-01-29 07:15:00 UTC,iheart.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,OK,1915
https://noticias.r7.com/cidades/a8se/mulher-e-vitima-de-tentativa-de-feminicidio-no-sul-de-sergipe-06052019,,2019-05-06 16:15:00 UTC,r7.com,False,feminicidio,feminicidio [Support],1,1,0,False,Support,News/Reporting,Brazil,2019,FETCH_FAILED,0
http://www.ktvn.com/story/37856385/most-in-cosby-jury-pool-have-made-up-minds-know-of-metoo,,2018-04-03 03:45:00 UTC,ktvn.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,FETCH_FAILED,0
http://www.wkbw.com/news/national/empowering-and-overwhelming-impact-of-metoo-beyond-social-media,,2017-11-30 01:00:00 UTC,wkbw.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2017,OK,1764
https://www.azfamily.com/news/ap/vandals-spray-paint-metoo-on-statue-of-kissing-sailor/article_1fb41373-2e6c-576d-83b7-5fe22942cde6.html,,2019-02-19 21:00:00 UTC,azfamily.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2019,OK,9192
http://www.orissapost.com/metoo-actress-ashley-judds-lawsuit-against-harvey-weinstein-on-hold/,,2019-04-03 06:15:00 UTC,orissapost.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,India,2019,OK,1830
http://www.kvor.com/news/gillettes-new-ad-isnt-about-shaving-its-about-men-in-the-age-of-metoo/,,2019-01-15 07:15:00 UTC,kvor.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2019,FETCH_FAILED,0
http://www.digitaljournal.com/news/world/hollywood-s-metoo-wave-engulfs-washington/article/507877,,2017-11-17 20:30:00 UTC,digitaljournal.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2017,FETCH_FAILED,0
http://www.lacerca.com/noticias/albacete/pp-criterio-junta-pueblos-albacete-ayudas-violencia-genero-491287-1.html,"El PP reprueba el criterio ""absurdo"" de la Junta que ""deja a 40 pueblos de Albacete"" sin ayudas por violencia de género",2019-12-12 14:45:00 UTC,lacerca.com,True,violencia de género,violencia de género [Support],1,1,0,False,Support,News/Reporting,Spain,2019,NO_TEXT,0
https://www.bozemandailychronicle.com/ap_news/politics/bill-clinton-bristles-at-questions-on-lewinsky-metoo/article_c03bd44c-49a4-5f60-98d4-a9483648b674.html,,2018-06-04 13:00:00 UTC,bozemandailychronicle.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,FETCH_FAILED,0
https://www.thesouthafrican.com/eff-news-julius-malema-menaretrash-quotes/,,2019-03-22 10:30:00 UTC,thesouthafrican.com,False,#MenAreTrash,#MenAreTrash [Support],1,1,0,True,Support,News/Reporting,South Africa,2019,FETCH_FAILED,0
http://www.nordeclair.be/137650/article/2017-10-10/viol-mortel-sedan-bientot-le-proces,,2017-10-11 14:15:00 UTC,nordeclair.be,False,viol,viol [Support],1,1,0,False,Support,News/Reporting,Belgium,2017,FETCH_FAILED,0
https://www.etonline.com/celebs-share-their-own-stories-of-sexual-assault-and-whyididntreport-in-response-to-donald-trump,,2018-09-22 02:15:00 UTC,etonline.com,False,#WhyIDidntReport,#WhyIDidntReport [Support],1,1,0,True,Support,News/Reporting,United States,2018,OK,2276
https://www.thegardnernews.com/zz/news/20190711/judge-approves-new-weinstein-legal-team-led-by-metoo-critic,,2019-07-11 20:30:00 UTC,thegardnernews.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,India,2019,FETCH_FAILED,0
https://www.forbes.com/sites/forbesnonprofitcouncil/2018/03/27/six-critical-steps-for-nonprofits-facing-a-metoo-incident/,,2018-03-27 12:30:00 UTC,forbes.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,OK,2975
http://www.diariojunin.com/noticias/74895_murio-tras-padecer-violencia-de-su-ex-y-el-femicidio-de-su-hija-adolescente-en-chaco.html,,2019-08-30 19:15:00 UTC,diariojunin.com,False,femicidio,femicidio [Support],1,1,0,False,Support,News/Reporting,UNKNOWN,2019,NO_TEXT,0
http://www.progresso.com.br/cidades/mato-grosso-do-sul-institui-dia-estadual-de-combate-ao-feminicidio,,2018-06-05 00:15:00 UTC,progresso.com.br,False,feminicidio,feminicidio [Support],1,1,0,False,Support,News/Reporting,Brazil,2018,FETCH_FAILED,0
http://adage.com/article/advertising/11-ad-leaders-metoo-making-real-change/312417/,,2018-02-20 08:15:00 UTC,adage.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,FETCH_FAILED,0
https://www.op-online.de/politik/trump-nach-mueller-bericht-ich-haette-alle-feuern-koennen-und-spricht-von-hexenjagd-zr-12202817.html,,2019-04-19 06:00:00 UTC,op-online.de,False,Hexenjagd,Hexenjagd [Backlash],1,0,1,False,Backlash,News/Reporting,Germany,2019,OK,50086
http://www.knek.com/news/roseanne-barr-goes-after-metoo/,,2019-03-04 21:15:00 UTC,knek.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,UNKNOWN,2019,FETCH_FAILED,0
https://www.kuaf.com/post/kuaf-arts-beat-local-playright-takes-metoo-movement,,2019-04-06 03:15:00 UTC,kuaf.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2019,OK,450
http://www.kbzk.com/story/37365545/jay-z-metoo-had-to-happen,,2018-01-28 03:45:00 UTC,kbzk.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,FETCH_FAILED,0
https://www.hollywoodreporter.com/news/metoo-bollywood-spreads-aamir-khan-akshay-kumar-drop-film-projects-1151811,,2018-10-12 10:30:00 UTC,hollywoodreporter.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,OK,6892
https://www.theguardian.com/world/2018/sep/01/louis-ck-comeback-show-metoo-abuse-of-power,,2018-09-01 12:30:00 UTC,theguardian.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United Kingdom,2018,OK,4220
http://www.eltiempo.com/podcast/no-es-hora-de-callar/puede-obtenerse-justicia-en-un-caso-de-feminicidio-255564,,2018-08-14 16:00:00 UTC,eltiempo.com,False,feminicidio,feminicidio [Support],1,1,0,False,Support,News/Reporting,Colombia,2018,OK,1017
https://www.nu.nl/metoo/6014011/rechter-wijst-verzoek-weinstein-over-aanklachten-seksuele-misdaden-af.html,Rechter wijst verzoek Weinstein over aanklachten seksuele misdaden af,2019-11-28 01:00:00 UTC,nu.nl,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,Netherlands,2019,NO_TEXT,0
http://www.wbaltv.com/article/beauty-queen-resigns-over-skit-mocking-metoo-movement/22134662,,2018-07-13 10:15:00 UTC,wbaltv.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,TOO_SHORT,375
https://www.capital.com.pe/actualidad/comisarios-que-no-atiendan-denuncias-de-violencia-que-terminen-en-feminicidio-seran-denunciados-noticia-1165745,,2018-11-27 06:15:00 UTC,capital.com.pe,False,feminicidio,feminicidio [Support],1,1,0,False,Support,News/Reporting,Peru,2018,FETCH_FAILED,0
http://www.ziarelive.ro/stiri/sotul-fostei-politiste-din-olt-melania-renghea-care-si-a-injunghiat-seful-dupa-ce-l-a-acuzat-de-viol-s-a-spanzurat.html,,2017-11-09 19:15:00 UTC,ziarelive.ro,False,viol,viol [Support],1,1,0,False,Support,News/Reporting,UNKNOWN,2017,FETCH_FAILED,0
https://www.romaniatv.net/lovitura-de-teatru-in-procesul-de-viol-al-lui-cristiano-ronaldo_477071.html,,2019-06-05 07:45:00 UTC,romaniatv.net,False,viol,viol [Support],1,1,0,False,Support,News/Reporting,Romania,2019,OK,1211
http://www.ziarelive.ro/stiri/prodecanul-facultatii-de-teologie-vasile-raduca-si-a-dat-demisia-dupa-declaratiile-despre-viol-si-sarcina.html,,2019-07-24 15:15:00 UTC,ziarelive.ro,False,viol,viol [Support],1,1,0,False,Support,News/Reporting,UNKNOWN,2019,FETCH_FAILED,0
http://www.die-glocke.de/blickindiewelt/vermischtes/Deutschland-und-die-MeToo-Debatte-bc1d625c-57e7-4299-a0a0-28be1487bf61-ds,,2018-03-30 11:00:00 UTC,die-glocke.de,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,Germany,2018,FETCH_FAILED,0
https://www.charismamag.com/life/women/38627-beth-moore-whyididntreport,,2018-09-26 12:45:00 UTC,charismamag.com,False,#WhyIDidntReport,#WhyIDidntReport [Support],1,1,0,True,Support,News/Reporting,UNKNOWN,2018,FETCH_FAILED,0
https://www.eltiempo.com/colombia/otras-ciudades/modelo-asesinada-es-el-decimo-feminicidio-ocurrido-en-frontera-261158,,2018-08-28 19:45:00 UTC,eltiempo.com,False,feminicidio,feminicidio [Support],1,1,0,False,Support,News/Reporting,Colombia,2018,OK,3655
https://www.neues-deutschland.de/artikel/1098396.metoo-lachreactions.html,,2018-08-25 10:30:00 UTC,neues-deutschland.de,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,Germany,2018,OK,800
https://www.rionegro.com.ar/region/doble-femicidio-acusaron-de-despreocupacion-al-juez-y-al-fiscal-BL5728892,,2018-09-20 04:15:00 UTC,rionegro.com.ar,False,femicidio,femicidio [Support],1,1,0,False,Support,News/Reporting,Argentina,2018,FETCH_FAILED,0
https://conexaoto.com.br/2019/12/18/liderada-por-dorinha-bancada-feminina-garante-r-42-milhoes-para-combate-do-feminicidio,"Liderada por Dorinha, Bancada Feminina garante R$ 42 milhões para combate do feminicidio",2019-12-19 03:00:00 UTC,conexaoto.com.br,True,feminicidio,feminicidio [Support],1,1,0,False,Support,News/Reporting,Brazil,2019,NO_TEXT,0
https://lasentinel.net/metoo-founder-tarana-burke-leads-survivors-march-and-rally-in-hollywood.html,,2017-11-16 09:00:00 UTC,lasentinel.net,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2017,FETCH_FAILED,0
https://1150wima.iheart.com/content/2018-07-09-beauty-queen-gave-up-her-crown-after-metoo-joke/,,2018-07-09 17:15:00 UTC,iheart.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,OK,1372
http://www.v100fm.com/news/roseanne-barr-goes-after-metoo/,,2019-03-04 19:45:00 UTC,v100fm.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,UNKNOWN,2019,FETCH_FAILED,0
http://www.vt.se/kultur-noje/fallet-med-kulturprofilen-detta-har-hant-om5491162.aspx,,2018-10-01 10:00:00 UTC,vt.se,False,Kulturprofilen,Kulturprofilen [Support],1,1,0,False,Support,News/Reporting,Sweden,2018,FETCH_FAILED,0
https://www.cosmopolitan.com/lifestyle/a22118820/miss-massachusetts-pageant-metoo-scandal/,,2018-07-14 20:30:00 UTC,cosmopolitan.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,OK,1428
https://www.dailyrepublic.com/all-dr-news/wires/business/metoo-effect-sexual-harassment-charges-with-the-eeoc-rose-for-the-first-time-in-years/,,2018-10-06 01:30:00 UTC,dailyrepublic.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,FETCH_FAILED,0
http://www.eltribuno.info/salta/nota/2017-10-1-0-0-0-en-un-dia-tres-mujeres-fueron-victimas-de-femicidio,,2017-10-01 05:30:00 UTC,eltribuno.info,False,femicidio,femicidio [Support],1,1,0,False,Support,News/Reporting,Argentina,2017,NO_TEXT,0
https://www.dv.is/fokus/2019/3/4/roseanne-hjolar-metoo-byltinguna-eg-thekki-horur-thegar-eg-se-thaer/,,2019-03-04 18:45:00 UTC,dv.is,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,Iceland,2019,FETCH_FAILED,0
https://www.hjnews.com/nation/judge-approves-new-weinstein-legal-team-led-by-metoo-critic/article_854d9965-5d42-5ffa-b1bb-20579f137ccd.html,,2019-07-11 22:00:00 UTC,hjnews.com,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2019,FETCH_FAILED,0
http://kazu.org/post/justice-ruth-bader-ginsburg-reflects-metoo-movement-its-about-time,,2018-01-22 21:00:00 UTC,kazu.org,False,#MeToo,#MeToo [Support],1,1,0,True,Support,News/Reporting,United States,2018,FETCH_FAILED,0
